200751 normal 90 6873.13
200751 slow 91 4327.18
200752 fast 5 23.29
200752 normal 123 11355.16
200752 slow 123 6645.87
200755 fast 0 0.0
200755 normal 92 2980.96
200755 slow 93 1670.23
200757 fast 2 11.6
200757 normal 53 2116.19
200757 slow 53 1184.47
200765 fast 14 28.88
200765 normal 95 9247.64
200765 slow 96 6007.32
200768 fast 10 61.06
200768 normal 162 10964.93
200768 slow 162 8185.33
200782 fast 3 8.69
200782 normal 100 5775.1
200782 slow 101 3922.59
200794 fast 1 1.54
200794 normal 76 2217.96
200794 slow 77 1343.95
200811 fast 0 0.0
200811 normal 69 2236.85
200811 slow 70 1641.72
200826 fast 1 5.36
200826 normal 71 3197.63
200826 slow 72 1949.53
201142 fast 0 0.0
201142 normal 47 1963.08
201142 slow 48 1998.1
201143 fast 0 0.0
201143 normal 41 1881.47
201143 slow 42 1319.01
201144 fast 7 41.36
201144 normal 110 7912.55
201144 slow 110 4373.23
201145 fast 1 9.69
201145 normal 80 4722.32
201145 slow 81 3150.82
201147 fast 4 20.71
201147 normal 44 2445.42
201147 slow 45 1263.56
201148 fast 3 17.5
201148 normal 87 3065.7
201148 slow 87 1955.44
201149 fast 3 5.05
201149 normal 80 3044.05
201149 slow 81 1855.45
201150 fast 0 0.0
201150 normal 74 3666.56
201150 slow 75 2604.02
201152 fast 5 26.93
201152 normal 123 8091.6
201152 slow 123 4482.37
201155 fast 0 0.0
201155 normal 81 1518.15
201155 slow 82 1126.79
201156 fast 3 3.71
201156 normal 73 3265.76
201156 slow 74 1916.88
201158 fast 9 12.31
201158 normal 109 10500.62
201158 slow 110 5635.81
201160 fast 0 0.0
201160 normal 114 3707.33
201160 slow 115 2217.13
201162 fast 4 10.31
201162 normal 125 4816.68
201162 slow 126 3124.52
201166 fast 0 0.0
201166 normal 69 2398.52
201166 slow 70 1311.53
201167 fast 2 3.45
201167 normal 103 5487.13
201167 slow 104 3185.66
201168 fast 0 0.0
201168 normal 24 625.9
201168 slow 25 298.28
201171 fast 0 0.0
201171 normal 26 589.82
201171 slow 27 519.69
201177 fast 0 0.0
201177 normal 63 2502.97
201177 slow 64 1926.07
201188 fast 2 1.08
201188 normal 112 6205.62
201188 slow 113 5450.31
201196 fast 9 15.37
201196 normal 78 2078.04
201196 slow 78 1529.56
201229 fast 1 4.84
201229 normal 79 2797.72
201229 slow 80 1674.88
201564 fast 10 12.4
201564 normal 82 5115.09
201564 slow 83 3442.16
201565 fast 4 18.19
201565 normal 87 5113.04
201565 slow 88 3068.91
201566 fast 1 2.82
201566 normal 59 1882.12
201566 slow 59 1534.98
201567 fast 38 156.03
201567 normal 130 85245.43
201567 slow 131 60846.75
201568 fast 1 3.82
201568 normal 136 11477.96
201568 slow 136 8354.16
201569 fast 1 5.33
201569 normal 142 8047.36
201569 slow 143 4349.76
201571 fast 0 0.0
